,Company Name,Continent,Country,Visit ID,Visitor ID,Channel Group,Channel Medium,User Identification,Visit Date,Visit Start Time,Time on Site,Visits,Hits,Page Views,Event_buttonclick,Downloads,Video Views,Web Pages
1809,Thompson-Parsons,EU,Slovenia,6057602188,36488242425218,Direct,None,IP Address,2023-11-25,01:58:42,105,1,2,1,1,0,0,fakepage.co.uk/main
1810,Wilson-King,EU,Albania,8306230280,22779225768967,Paid Search,Google,IP Address,2023-11-23,01:16:59,109,1,2,1,1,0,0,fakepage.co.uk/products
1811,,NA,Anguilla,5412286216,23064611082350,Organic Search,Google,IP Address,2023-08-09,10:39:00,15,1,2,1,1,0,0,fakepage.co.uk/products
1812,"Thompson, Acosta and Davis",EU,Romania,4243287735,24609967009457,Email,Newsletter,Known Visitior,2023-05-23,11:15:32,27,75,111,11,99,1,0,fakepage.co.uk/main
1813,"Garcia, Montes and Hall",EU,Denmark,0419136845,36378773887863,Paid Search,Google,Known Visitior,2023-07-30,17:56:12,101,23,24,12,10,2,0,fakepage.co.uk/main
1814,Wright-Brown,NA,Anguilla,6607788441,79712780174071,Paid Search,Bing,IP Address,2023-04-11,14:24:14,89,1,2,1,1,0,0,fakepage.co.uk/main
1815,Daniels-Thomas,EU,Switzerland,9766010359,42852770777113,Direct,None,Marketo,2023-12-11,12:39:59,94,27,34,6,28,0,0,fakepage.co.uk/products
1816,Jordan and Sons,EU,Spain,3972115380,60503696305521,Referral,Otherwebsite_placeholder,Known Visitior,2023-08-07,18:50:53,142,2,3,1,2,0,0,fakepage.co.uk/main
1817,"Roberts, Adams and Edwards",EU,North Macedonia,7865629243,16199339175275,Email,Promo-Campaign,Marketo,2023-10-10,23:04:52,93,5,8,1,7,0,0,fakepage.co.uk/main
1818,Ryan Group,AS,Sri Lanka,8029892531,40538111438825,Direct,None,IP Address,2023-08-05,23:23:53,130,1,2,1,1,0,0,fakepage.co.uk/main
1819,Wells-Mcdonald,NA,Nicaragua,6789027936,84913439218328,Organic Search,Google,Known Visitior,2023-02-06,07:49:53,77,5,8,1,3,2,2,fakepage.co.uk/main
1820,Livingston and Sons,NA,Haiti,8752576695,43498240933068,Referral,Partner-site,Known Visitior,2023-05-15,07:46:10,102,17,19,7,12,0,0,fakepage.co.uk/main
1821,"Hammond, Francis and Jones",EU,Denmark,5015349985,95683297947694,Organic Social,Facebook,IP Address,2023-10-23,14:01:21,103,1,2,1,1,0,0,fakepage.co.uk/aboutus
1822,"Peters, Nichols and Gomez",AS,Saudi Arabia,0232077105,33048985253581,Paid Search,Google,IP Address,2023-11-02,07:39:47,51,1,2,1,1,0,0,fakepage.co.uk/main
1823,,EU,Isle of Man,5206935033,91679646269013,Organic Social,LinkedIn,IP Address,2023-10-31,04:38:26,78,1,2,1,1,0,0,fakepage.co.uk/products
1824,,NA,Haiti,9795440912,48184696820320,Direct,None,Marketo,2023-02-04,20:57:43,23,3,4,1,2,1,0,fakepage.co.uk/aboutus
1825,Flores Group,AS,Hong Kong,4659466847,44984665308192,Paid Search,Google,Known Visitior,2023-11-02,19:27:03,15,3,6,1,5,0,0,fakepage.co.uk/main
1826,Ramirez-Crawford,NA,Aruba,4441177178,51388709864496,Paid Search,Google,Known Visitior,2023-10-28,16:19:42,27,4,6,1,5,0,0,fakepage.co.uk/main
1827,,EU,Ukraine,4950389851,97143828040228,Direct,None,Marketo,2023-06-25,02:33:44,22,2,4,1,2,1,0,fakepage.co.uk/products
1828,"Estrada, Mcpherson and Donovan",EU,San Marino,7030808502,68708657131878,Email,Promo-Campaign,Known Visitior,2023-05-24,21:34:27,15,4,7,1,5,1,0,fakepage.co.uk/products
1829,Andrews and Sons,EU,Norway,3591852192,99890035584937,Direct,None,IP Address,2023-11-12,23:14:58,84,1,2,1,1,0,0,fakepage.co.uk/aboutus
1830,Kennedy-Martin,EU,Poland,9669981896,78128378823938,Organic Search,Google,Known Visitior,2023-08-07,08:47:38,15,2,4,1,3,0,0,fakepage.co.uk/products
1831,Bradley Group,EU,Denmark,5926190535,93824556167265,Paid Search,Google,IP Address,2023-04-10,15:54:18,126,1,2,1,1,0,0,fakepage.co.uk/main
1832,,EU,San Marino,7141597590,26259299984412,Paid Search,Google,IP Address,2023-11-14,18:02:19,121,1,2,1,1,0,0,fakepage.co.uk/main
1833,,EU,Andorra,5720603276,32706460658262,Direct,None,Known Visitior,2023-05-14,18:15:33,122,5,10,5,3,1,1,fakepage.co.uk/boom
1834,Weeks LLC,NA,Antigua and Barbuda,2579029531,73056320463470,Direct,None,Known Visitior,2023-06-26,21:23:25,126,2,4,1,3,0,0,fakepage.co.uk/main
1835,Coleman Ltd,EU,Ukraine,9357677351,28212103738648,Email,Newsletter,IP Address,2023-09-06,20:28:39,134,1,2,1,1,0,0,fakepage.co.uk/main
1836,Brewer-Martinez,EU,Ireland,2681335068,67053683940086,Organic Search,Google,Known Visitior,2023-08-19,19:21:02,93,2,4,1,2,1,0,fakepage.co.uk/boom
1837,Johnson-Mathews,EU,Bosnia and Herzegovina,4473267558,47614956207353,Organic Search,Google,Known Visitior,2023-04-02,21:07:08,17,3,6,1,5,0,0,fakepage.co.uk/products
1838,,EU,Norway,1400460155,33422511471382,Direct,None,IP Address,2023-11-10,22:59:46,162,1,2,1,1,0,0,fakepage.co.uk/products
1839,Mercado PLC,EU,Croatia,2167026750,05967040455398,Paid Search,Bing,Marketo,2023-02-04,21:48:51,76,2,3,1,2,0,0,fakepage.co.uk/products
1840,"Mercado, Bean and Ingram",EU,Germany,8081619086,22398575896737,Paid Search,Bing,Known Visitior,2023-01-15,00:33:35,41,8,12,8,4,0,0,fakepage.co.uk/boom
1841,Hanson-Kim,NA,Grenada,8068190808,00118742330842,Paid Search,Google,Known Visitior,2023-05-03,11:20:34,149,2,4,1,3,0,0,fakepage.co.uk/products
1842,"Andersen, Moore and Hughes",EU,Hungary,8515664288,00350986534030,Organic Search,Google,Known Visitior,2023-09-05,04:01:11,111,10,18,5,11,2,0,fakepage.co.uk/boom
1843,Bright-Frank,EU,Slovakia,4589616533,26109020256034,Paid Search,Google,Known Visitior,2023-05-16,09:54:54,63,41,69,7,27,1,3,fakepage.co.uk/aboutus
1844,"Le, Roman and Foster",NA,Costa Rica,2128653541,80343280187618,Paid Search,Google,Known Visitior,2023-06-30,05:19:25,73,58,112,9,55,2,4,fakepage.co.uk/products
1845,"Middleton, Ramos and Bowman",EU,Luxembourg,2996120048,60092835397623,Paid Search,Google,IP Address,2023-02-06,09:13:25,15,1,2,1,1,0,0,fakepage.co.uk/main
1846,Hernandez Inc,EU,Liechtenstein,1863063814,62805978641265,Paid Search,Google,IP Address,2023-03-13,18:27:35,85,1,2,1,1,0,0,fakepage.co.uk/aboutus
1847,"Cook, Rhodes and Lara",NA,Bahamas,6059032873,01438813330953,Paid Search,Google,Marketo,2023-03-11,18:16:02,98,2,3,1,2,0,0,fakepage.co.uk/boom
1848,Torres-Evans,NA,Turks and Caicos Islands,4407658278,85479276272812,Organic Search,Google,Known Visitior,2023-01-18,22:26:19,125,17,20,12,2,1,2,fakepage.co.uk/products
1849,Grant-Gomez,AS,Sri Lanka,2956056759,45887180595578,Organic Search,Google,Known Visitior,2023-11-10,08:10:10,36,3,4,1,3,0,0,fakepage.co.uk/main
1850,Bell-Michael,EU,Hungary,4616260453,03958226764975,Organic Social,Instagram,IP Address,2023-12-28,14:39:56,167,1,2,1,1,0,0,fakepage.co.uk/main
1851,"Garcia, Zamora and Brennan",EU,Luxembourg,6195116276,86890947767727,Email,Promo-Campaign,Marketo,2023-08-24,01:32:49,117,3,6,1,3,2,0,fakepage.co.uk/main
1852,Ellison-Lewis,EU,Slovakia,9308373016,40385300537121,Referral,Partner-site,IP Address,2023-07-13,05:10:38,52,1,2,1,1,0,0,fakepage.co.uk/boom
1853,Williams Ltd,AS,Kyrgyzstan,0406045379,22684862542070,Email,Newsletter,Marketo,2023-12-19,05:32:55,17,61,115,12,57,1,3,fakepage.co.uk/main
1854,Harris-Perkins,NA,Cuba,7666682383,60883191343337,Paid Search,Google,Known Visitior,2023-01-06,09:01:36,39,2,3,1,2,0,0,fakepage.co.uk/main
1855,"Ray, Warren and Nelson",AS,Myanmar,0325979264,58799705156418,Organic Search,Google,Known Visitior,2023-06-22,10:11:36,41,2,4,1,2,1,0,fakepage.co.uk/products
1856,,NA,Greenland,5010076476,07401806131157,Paid Search,Google,IP Address,2023-06-15,22:45:26,51,1,2,1,1,0,0,fakepage.co.uk/main
1857,"Matthews, Cordova and Shaw",EU,Latvia,2431961437,84859036194842,Direct,None,IP Address,2023-09-25,17:45:19,118,1,2,1,1,0,0,fakepage.co.uk/main
1858,Rice LLC,EU,Germany,1384246765,18684748978446,Paid Search,Google,Known Visitior,2023-12-08,23:09:32,23,2,3,1,2,0,0,fakepage.co.uk/boom
1859,,AS,Iraq,9176050393,71983096697559,Paid Search,Google,IP Address,2023-02-15,04:57:38,61,1,2,1,1,0,0,fakepage.co.uk/aboutus
1860,"Martinez, Hernandez and Lane",EU,Ukraine,3176023729,69254801847473,Organic Search,Google,Known Visitior,2023-02-01,22:29:48,128,23,29,5,20,2,1,fakepage.co.uk/products
1861,,EU,Netherlands,8005727752,50865487543268,Organic Search,Google,Marketo,2023-01-19,21:22:00,36,2,4,1,3,0,0,fakepage.co.uk/main
1862,"Baker, Cruz and Allen",EU,Bulgaria,4224640873,51678680540083,Organic Search,Google,IP Address,2023-01-22,08:59:01,15,1,2,1,1,0,0,fakepage.co.uk/main
1863,,AS,Pakistan,6176267456,90010558191175,Paid Search,Bing,IP Address,2023-07-26,16:38:10,15,1,2,1,1,0,0,fakepage.co.uk/main
1864,,NA,"Virgin Islands, British",8907254568,03561836944566,Paid Search,Google,IP Address,2023-11-24,11:16:18,59,1,2,1,1,0,0,fakepage.co.uk/products
1865,Dennis-Woods,EU,Belgium,6977418849,94158413943612,Organic Search,Google,IP Address,2023-10-12,18:48:27,95,1,2,1,1,0,0,fakepage.co.uk/aboutus
1866,Wolfe-Rodriguez,AS,"Korea, Democratic People's Republic of",5351817664,88483263986995,Paid Search,Bing,Marketo,2023-02-08,18:56:36,40,4,6,1,5,0,0,fakepage.co.uk/main
1867,Woods-Carrillo,AS,Turkmenistan,9076509210,40337302899320,Email,Newsletter,IP Address,2023-09-26,15:49:00,170,1,2,1,1,0,0,fakepage.co.uk/main
1868,Rodriguez LLC,AS,Oman,1443969138,05943020179451,Paid Search,Google,IP Address,2023-12-10,17:22:53,85,1,2,1,1,0,0,fakepage.co.uk/main
1869,,EU,Poland,6189792997,31180539239713,Paid Search,Google,Known Visitior,2023-12-07,12:19:30,15,2,4,1,2,1,0,fakepage.co.uk/main
1870,,EU,Bosnia and Herzegovina,6238487682,24699071090455,Paid Search,Google,Known Visitior,2023-02-25,11:07:29,115,58,77,9,48,3,1,fakepage.co.uk/products
1871,,AS,Nepal,6079171464,05905043053596,Direct,None,IP Address,2023-10-14,11:29:30,79,1,2,1,1,0,0,fakepage.co.uk/main
1872,Wilson LLC,EU,Guernsey,6919213056,22569605790202,Email,Newsletter,IP Address,2023-03-15,05:47:12,128,1,2,1,1,0,0,fakepage.co.uk/aboutus
1873,Wilson Inc,EU,Isle of Man,6065498936,17516790774556,Organic Search,Google,Known Visitior,2023-10-06,22:33:57,60,6,9,1,2,3,3,fakepage.co.uk/aboutus
1874,Beck Ltd,NA,Costa Rica,3326014524,85606117441914,Referral,Otherwebsite_placeholder,IP Address,2023-08-11,05:39:29,42,1,2,1,1,0,0,fakepage.co.uk/products
1875,"Wright, Robles and Ponce",EU,Italy,2952023479,25523391894287,Organic Search,Google,IP Address,2023-06-19,10:52:08,66,1,2,1,1,0,0,fakepage.co.uk/main
1876,Smith PLC,EU,Poland,9245243918,92304575799804,Paid Search,Bing,Known Visitior,2023-11-09,03:09:52,15,3,6,1,5,0,0,fakepage.co.uk/main
1877,,EU,"Moldova, Republic of",5888735227,25352872810030,Paid Search,Google,IP Address,2023-03-08,10:47:20,67,1,2,1,1,0,0,fakepage.co.uk/products
1878,Walton LLC,AS,Qatar,8448959356,64883233965767,Direct,None,IP Address,2023-12-08,13:40:33,68,1,2,1,1,0,0,fakepage.co.uk/boom
1879,,EU,Estonia,7695698389,50623884839383,Paid Search,Bing,Known Visitior,2023-08-09,02:50:22,179,3,4,1,2,1,0,fakepage.co.uk/main
1880,Lowe-Gonzales,EU,Ukraine,0128030405,45176643777352,Paid Search,Google,IP Address,2023-01-27,16:37:06,59,1,2,1,1,0,0,fakepage.co.uk/main
1881,"Ward, Ward and Henderson",EU,Liechtenstein,3129015959,71504231265264,Direct,None,IP Address,2023-04-11,17:33:39,69,1,2,1,1,0,0,fakepage.co.uk/products
1882,,NA,"Bonaire, Sint Eustatius and Saba",2488218333,41531757208726,Email,Targeted Ad,Known Visitior,2023-07-23,21:16:45,29,8,14,3,11,0,0,fakepage.co.uk/products
1883,,NA,Trinidad and Tobago,1491284558,13384345038713,Paid Search,Google,Known Visitior,2023-02-23,21:54:54,192,8,12,3,6,2,1,fakepage.co.uk/main
1884,Weaver Inc,AS,"Korea, Democratic People's Republic of",6475863796,96954824362549,Organic Search,Bing,IP Address,2023-04-04,01:18:55,135,1,2,1,1,0,0,fakepage.co.uk/main
1885,,EU,Guernsey,3290042737,79630523025114,Organic Search,Bing,Known Visitior,2023-10-25,15:57:58,15,17,28,11,11,1,2,fakepage.co.uk/products
1886,Lindsey and Sons,EU,Lithuania,1545112106,19786649556214,Paid Search,Google,Known Visitior,2023-06-10,04:30:38,110,6,10,4,3,1,2,fakepage.co.uk/products
1887,"Davis, Freeman and Lindsey",AS,Saudi Arabia,1176387172,76960224003200,Organic Social,LinkedIn,Known Visitior,2023-08-25,19:58:23,56,2,3,1,2,0,0,fakepage.co.uk/products
1888,Delacruz Ltd,EU,Gibraltar,7040511188,14050774540761,Email,Targeted Ad,Known Visitior,2023-01-12,22:50:28,76,4,7,1,4,2,0,fakepage.co.uk/aboutus
1889,Davis-Nelson,EU,Latvia,9293798809,76216456127961,Organic Search,Google,IP Address,2023-10-31,08:26:58,90,1,2,1,1,0,0,fakepage.co.uk/main
1890,Li LLC,NA,Canada,3838718169,73410502253558,Paid Search,Google,Known Visitior,2023-04-26,01:24:40,15,10,19,7,12,0,0,fakepage.co.uk/main
1891,,EU,Russian Federation,6158409384,81567765792192,Paid Search,Google,IP Address,2023-04-09,21:42:57,83,1,2,1,1,0,0,fakepage.co.uk/main
1892,Davidson-Boyer,EU,France,2789620779,18780233292742,Direct,None,Known Visitior,2023-04-13,11:27:59,151,9,15,3,11,1,0,fakepage.co.uk/products
1893,Perez and Sons,EU,United Kingdom,4755463950,51207460035251,Paid Search,Google,Marketo,2023-08-19,13:16:04,76,5,9,1,5,2,1,fakepage.co.uk/main
1894,Callahan-Saunders,EU,Austria,1136652330,89395601233517,Organic Search,Google,Known Visitior,2023-04-25,11:01:47,15,6,10,9,1,0,0,fakepage.co.uk/products
1895,,NA,Montserrat,6078928630,55937324518599,Paid Search,Google,Known Visitior,2023-11-04,20:02:27,136,26,52,8,15,1,3,fakepage.co.uk/main
1896,Wolf-Cruz,AS,Sri Lanka,5665715329,88096755937238,Organic Social,LinkedIn,Known Visitior,2023-01-13,23:26:33,18,2,3,1,2,0,0,fakepage.co.uk/main
1897,,EU,Belarus,4350067905,60199912748067,Organic Search,Google,Known Visitior,2023-09-07,21:27:26,118,9,12,2,10,0,0,fakepage.co.uk/main
1898,,EU,Estonia,0327979391,93696901429424,Direct,None,Known Visitior,2023-09-28,21:43:19,71,19,24,12,10,1,1,fakepage.co.uk/boom
1899,Williams-Cameron,EU,Jersey,6619780592,00677309556391,Paid Search,Bing,Marketo,2023-11-29,05:57:28,89,2,4,1,2,1,0,fakepage.co.uk/boom
1900,Vega-Perez,EU,Switzerland,2588671934,98042777115788,Paid Search,Google,Known Visitior,2023-03-02,17:08:18,75,5,8,1,4,2,1,fakepage.co.uk/products
1901,,EU,Netherlands,6690975398,64305339380784,Paid Search,Google,Known Visitior,2023-10-21,08:30:47,140,3,5,1,3,1,0,fakepage.co.uk/products
1902,Washington-Smith,EU,Jersey,4762255969,53927158866806,Organic Search,Google,Known Visitior,2023-12-19,00:27:17,157,8,10,7,3,0,0,fakepage.co.uk/main
1903,Taylor Group,NA,Mexico,2316977161,21521516807391,Direct,None,IP Address,2023-04-06,02:15:54,15,1,2,1,1,0,0,fakepage.co.uk/main
1904,Logan-Carter,NA,Saint Pierre and Miquelon,5624821372,79119631041510,Paid Search,Bing,Known Visitior,2023-12-31,17:36:24,179,2,3,1,2,0,0,fakepage.co.uk/aboutus
1905,Patterson Inc,EU,Latvia,6836800901,53359278110420,Paid Search,Google,Known Visitior,2023-06-07,13:46:05,86,4,5,1,4,0,0,fakepage.co.uk/aboutus
1906,Page-Collier,EU,Latvia,5192881722,27375477274553,Paid Search,Google,IP Address,2023-06-07,02:25:26,101,1,2,1,1,0,0,fakepage.co.uk/products
1907,"Lambert, Garza and Morton",EU,Svalbard and Jan Mayen,5257829893,65729698060896,Paid Search,Google,Known Visitior,2023-07-23,23:23:57,123,6,7,1,5,1,0,fakepage.co.uk/products
1908,Graham LLC,NA,Grenada,7473144557,65785817030813,Organic Social,Instagram,IP Address,2023-03-04,04:16:44,75,1,2,1,1,0,0,fakepage.co.uk/main
1909,Carey Ltd,NA,"Virgin Islands, British",8043042827,98152087598257,Direct,None,Known Visitior,2023-05-30,13:52:27,55,22,26,13,12,1,0,fakepage.co.uk/main
1910,,EU,Albania,1420380070,55296819913881,Referral,Otherwebsite_placeholder,IP Address,2023-11-22,14:21:41,117,1,2,1,1,0,0,fakepage.co.uk/main
1911,Wood-Daniel,EU,Netherlands,5235206888,31957242580714,Organic Search,Google,Known Visitior,2023-05-28,09:57:37,92,2,3,1,2,0,0,fakepage.co.uk/aboutus
1912,,EU,Belarus,2730541729,95828469657744,Organic Search,Google,IP Address,2023-12-31,08:04:20,26,1,2,1,1,0,0,fakepage.co.uk/main
1913,Mcfarland PLC,NA,Honduras,5062755676,56186020893356,Direct,None,IP Address,2023-02-14,13:07:57,33,1,2,1,1,0,0,fakepage.co.uk/products
1914,"Long, Davis and Moore",EU,Andorra,3810132003,44164778295714,Organic Search,Google,IP Address,2023-07-24,11:09:40,163,1,2,1,1,0,0,fakepage.co.uk/main
1915,"Nguyen, Bartlett and Grimes",NA,"Virgin Islands, British",9647077959,17528193938329,Organic Social,Facebook,Known Visitior,2023-04-04,06:14:07,76,3,4,1,3,0,0,fakepage.co.uk/products
1916,Daugherty LLC,EU,Poland,3297491563,01924182599750,Organic Search,Google,Marketo,2023-09-27,11:10:59,15,5,6,1,5,0,0,fakepage.co.uk/boom
1917,Evans-Steele,NA,Cuba,1153078010,74014216637954,Organic Search,Google,Known Visitior,2023-12-24,01:40:05,15,7,12,2,10,0,0,fakepage.co.uk/main
1918,"Guzman, Warren and Stone",EU,Slovakia,6600528645,47095778841139,Direct,None,IP Address,2023-11-21,10:45:17,75,1,2,1,1,0,0,fakepage.co.uk/products
1919,"Mclaughlin, Jordan and Salas",AS,Viet Nam,7916537246,25546841593954,Paid Search,Bing,Known Visitior,2023-11-04,13:05:21,140,2,4,1,3,0,0,fakepage.co.uk/products
1920,Thompson LLC,EU,Gibraltar,7579863161,75103378699087,Referral,Partner-site,Marketo,2023-09-15,13:48:54,15,4,5,1,3,1,0,fakepage.co.uk/products
1921,,NA,Saint Vincent and the Grenadines,9309359434,69369294240649,Organic Search,Bing,Known Visitior,2023-02-25,01:53:03,48,2,3,1,2,0,0,fakepage.co.uk/main
1922,"Douglas, Lane and Simmons",EU,Austria,7147959945,69795323705345,Direct,None,IP Address,2023-05-23,02:42:19,27,1,2,1,1,0,0,fakepage.co.uk/main
1923,Jenkins PLC,NA,United States,7923483736,13758997130769,Email,Targeted Ad,IP Address,2023-05-30,11:59:48,60,1,2,1,1,0,0,fakepage.co.uk/products
1924,,EU,Montenegro,7027636619,29602622128839,Referral,Otherwebsite_placeholder,IP Address,2023-08-19,11:18:58,89,1,2,1,1,0,0,fakepage.co.uk/boom
1925,,EU,Russian Federation,1141943325,58632747625190,Paid Search,Google,IP Address,2023-08-02,19:14:14,81,1,2,1,1,0,0,fakepage.co.uk/main
1926,Mcgee and Sons,EU,San Marino,2673692347,19629163877032,Organic Search,Bing,Known Visitior,2023-06-17,17:25:14,15,4,5,1,2,2,0,fakepage.co.uk/main
1927,,EU,Ireland,3386834687,21430115992524,Organic Search,Bing,Known Visitior,2023-04-02,03:56:28,72,49,61,7,34,1,3,fakepage.co.uk/aboutus
1928,,NA,"Virgin Islands, British",5932712193,74885596051930,Direct,None,Known Visitior,2023-10-07,14:29:57,79,3,5,1,2,1,1,fakepage.co.uk/main
1929,,NA,Turks and Caicos Islands,4599441024,17537728712103,Email,Newsletter,IP Address,2023-03-02,02:14:47,74,1,2,1,1,0,0,fakepage.co.uk/main
1930,,NA,Cayman Islands,8903878781,64364244803615,Paid Search,Google,Known Visitior,2023-01-19,23:10:31,46,3,6,1,3,1,1,fakepage.co.uk/main
1931,,EU,Czechia,6328626709,21244604065063,Paid Search,Google,Known Visitior,2023-06-07,06:02:26,55,56,87,9,77,1,0,fakepage.co.uk/main
1932,Webb-Gregory,EU,Faroe Islands,0091061352,39327381634069,Paid Search,Google,IP Address,2023-09-29,10:31:25,15,1,2,1,1,0,0,fakepage.co.uk/main
1933,Dixon Ltd,EU,San Marino,0268476995,34781762847564,Paid Search,Google,Known Visitior,2023-03-16,08:35:29,96,2,3,1,2,0,0,fakepage.co.uk/boom
1934,Martinez-Barrett,EU,Croatia,3579974509,30030935995709,Paid Search,Google,IP Address,2023-06-27,20:39:43,87,1,2,1,1,0,0,fakepage.co.uk/main
1935,"Wood, Sanford and Neal",AS,Mongolia,4058225347,20479380054919,Direct,None,Known Visitior,2023-08-14,23:41:08,105,2,3,1,2,0,0,fakepage.co.uk/main
1936,Baker Inc,EU,Slovenia,2749457599,64859995524937,Organic Search,Google,Known Visitior,2023-07-04,17:30:17,98,10,14,6,5,1,2,fakepage.co.uk/main
1937,,EU,Latvia,8081711883,04090133178898,Organic Social,Instagram,IP Address,2023-12-23,03:26:52,15,1,2,1,1,0,0,fakepage.co.uk/main
1938,,EU,Serbia,5820366506,69344685474261,Paid Search,Google,Marketo,2023-06-07,00:00:14,63,10,20,4,11,2,2,fakepage.co.uk/products
1939,,NA,Grenada,8739847541,21324639510726,Organic Social,LinkedIn,IP Address,2023-01-28,00:52:48,113,1,2,1,1,0,0,fakepage.co.uk/main
1940,Bryant-Fowler,EU,United Kingdom,5598358666,50017004607515,Organic Search,Google,IP Address,2023-11-16,00:01:35,91,1,2,1,1,0,0,fakepage.co.uk/boom
1941,Guzman-Rollins,EU,Norway,0829516433,10937110540006,Paid Search,Google,IP Address,2023-01-25,13:21:14,75,1,2,1,1,0,0,fakepage.co.uk/main
1942,Smith-Henry,AS,Singapore,9206673675,04855984755604,Email,Targeted Ad,IP Address,2023-10-04,21:20:39,85,1,2,1,1,0,0,fakepage.co.uk/boom
1943,Larson Group,NA,Panama,7042379871,05531828502663,Paid Search,Google,IP Address,2023-07-25,23:48:34,124,1,2,1,1,0,0,fakepage.co.uk/main
1944,Wright-Harrison,NA,"Bonaire, Sint Eustatius and Saba",4470025280,62324803097471,Organic Search,Google,IP Address,2023-01-09,01:10:25,75,1,2,1,1,0,0,fakepage.co.uk/main
1945,,EU,Switzerland,8419198805,07596645606612,Direct,None,IP Address,2023-03-12,01:24:30,88,1,2,1,1,0,0,fakepage.co.uk/main
1946,"Meyer, Brady and Griffith",EU,Finland,2352215598,28763033494294,Direct,None,IP Address,2023-01-06,20:32:32,101,1,2,1,1,0,0,fakepage.co.uk/main
1947,Le and Sons,EU,Germany,4330028483,77998903282403,Direct,None,Known Visitior,2023-01-22,08:25:03,15,2,4,1,3,0,0,fakepage.co.uk/main
1948,Villarreal and Sons,EU,Portugal,8378674868,72043058290597,Paid Search,Google,Known Visitior,2023-08-01,06:12:50,59,2,3,1,2,0,0,fakepage.co.uk/main
1949,"Holland, Rivera and Mcgrath",EU,Jersey,9924864098,46428570145040,Organic Search,Google,IP Address,2023-07-13,14:17:14,16,1,2,1,1,0,0,fakepage.co.uk/main
1950,Cochran-Robinson,EU,Belgium,8634346871,89299982218108,Referral,Otherwebsite_placeholder,Known Visitior,2023-04-04,08:40:23,22,2,3,1,2,0,0,fakepage.co.uk/products
1951,,AS,Macao,2662261352,07683721830989,Paid Search,Google,Known Visitior,2023-09-30,05:58:35,142,9,12,10,2,0,0,fakepage.co.uk/main
1952,"Goodwin, May and Johnson",EU,Belgium,6425811626,91900338085356,Organic Search,Google,Known Visitior,2023-12-31,08:41:18,15,7,13,9,2,2,0,fakepage.co.uk/main
1953,Coleman Ltd,AS,Indonesia,7320576661,85476281810223,Organic Search,Google,Known Visitior,2023-06-18,00:14:38,73,4,6,1,5,0,0,fakepage.co.uk/main
1954,,EU,Jersey,3557313755,93852286113406,Direct,None,Known Visitior,2023-08-15,12:28:13,113,14,23,5,13,1,2,fakepage.co.uk/products
1955,"Porter, Robertson and Simon",NA,Antigua and Barbuda,2960240119,26763726705433,Organic Search,Google,IP Address,2023-08-12,02:21:06,15,1,2,1,1,0,0,fakepage.co.uk/aboutus
1956,"Harper, Chapman and Flores",AS,Japan,1128861785,69330937830710,Paid Search,Google,Known Visitior,2023-06-09,09:50:06,148,2,3,1,2,0,0,fakepage.co.uk/aboutus
1957,Martinez-Garcia,EU,Ukraine,3425742179,87204604930691,Paid Search,Google,Known Visitior,2023-02-07,19:48:54,60,2,3,1,2,0,0,fakepage.co.uk/boom
1958,"Clayton, Hall and Johnson",EU,Greece,3571974440,82941254528179,Paid Search,Google,Known Visitior,2023-04-08,22:57:00,93,4,5,1,4,0,0,fakepage.co.uk/main
1959,,EU,Albania,4204035930,01912168475990,Organic Social,LinkedIn,Known Visitior,2023-12-12,18:46:16,82,3,5,1,4,0,0,fakepage.co.uk/products
1960,"Curtis, Gilbert and White",EU,Gibraltar,1702074085,64419001580997,Direct,None,Marketo,2023-09-21,18:51:58,91,18,32,9,23,0,0,fakepage.co.uk/main
1961,,EU,Greece,2889855037,29367976942021,Paid Search,Google,Known Visitior,2023-06-23,10:00:07,15,13,25,4,17,2,2,fakepage.co.uk/main
1962,"Campbell, Roth and Carter",EU,Russian Federation,3786793533,47929198898983,Organic Search,Google,Known Visitior,2023-07-26,15:47:54,15,3,6,1,5,0,0,fakepage.co.uk/aboutus
1963,"Martin, Thompson and Wheeler",AS,China,2699038462,33825578107536,Organic Search,Google,Known Visitior,2023-11-19,11:50:22,15,3,4,1,3,0,0,fakepage.co.uk/aboutus
1964,,EU,"Moldova, Republic of",6754938843,16958557567651,Paid Search,Google,IP Address,2023-03-05,04:34:39,41,1,2,1,1,0,0,fakepage.co.uk/products
1965,"Washington, Garcia and Hughes",EU,Faroe Islands,6715169155,03021367677000,Organic Social,Instagram,IP Address,2023-03-25,02:55:35,26,1,2,1,1,0,0,fakepage.co.uk/products
1966,"Cross, Tanner and Landry",NA,"Virgin Islands, British",6799599031,20565087690936,Paid Search,Google,IP Address,2023-05-17,09:43:52,126,1,2,1,1,0,0,fakepage.co.uk/main
1967,,NA,Belize,3884893978,74086152515573,Paid Search,Google,Known Visitior,2023-06-23,15:28:55,103,2,3,1,2,0,0,fakepage.co.uk/main
1968,,AS,Azerbaijan,0526292872,31733019472427,Referral,Otherwebsite_placeholder,Known Visitior,2023-09-23,00:39:43,34,2,3,1,2,0,0,fakepage.co.uk/main
1969,Jackson-Hoover,NA,"Virgin Islands, U.S.",3640197246,54283753965568,Direct,None,Known Visitior,2023-01-25,18:33:00,140,37,65,6,53,1,4,fakepage.co.uk/main
